Timestamp,Red,Green,Blue,Raw
2025-12-20 19:47:16.612,,,,=== CALIBRATION MODE ===
2025-12-20 19:47:19.127,,,,Point sensor at WHITE surface...
2025-12-20 19:47:23.988,,,,..........
2025-12-20 19:47:26.136,,,,"White completed, prepare black sensor"
2025-12-20 19:47:27.135,,,,Now point sensor at BLACK surface...
2025-12-20 19:47:32.040,,,,..........
2025-12-20 19:47:34.168,,,,=== CALIBRATION COMPLETE ===
2025-12-20 19:47:34.215,,,,Min/Max values:
2025-12-20 19:47:34.227,,,,Red: 52-657
2025-12-20 19:47:34.240,,,,Green: 45-721
2025-12-20 19:47:34.252,,,,Blue: 45-643
2025-12-20 19:47:37.186,,,,Starting measurements...
2025-12-20 19:47:40.174,43,23,16,"43,23,16"
2025-12-20 19:47:40.680,41,23,19,"41,23,19"
2025-12-20 19:47:41.184,41,23,19,"41,23,19"
2025-12-20 19:47:41.688,43,20,16,"43,20,16"
2025-12-20 19:47:42.193,43,23,16,"43,23,16"
2025-12-20 19:47:42.695,41,23,19,"41,23,19"
2025-12-20 19:47:43.199,41,20,19,"41,20,19"
2025-12-20 19:47:43.704,43,23,16,"43,23,16"
2025-12-20 19:47:44.211,41,23,19,"41,23,19"
2025-12-20 19:47:44.715,41,20,19,"41,20,19"
2025-12-20 19:47:45.218,26,6,5,"26,6,5"
2025-12-20 19:47:45.724,28,8,4,"28,8,4"
2025-12-20 19:47:46.226,29,8,3,"29,8,3"
2025-12-20 19:47:46.730,44,24,21,"44,24,21"
2025-12-20 19:47:47.233,43,25,21,"43,25,21"
2025-12-20 19:47:47.737,43,25,21,"43,25,21"
2025-12-20 19:47:48.242,43,22,21,"43,22,21"
2025-12-20 19:47:48.745,45,23,19,"45,23,19"
2025-12-20 19:47:49.249,46,25,19,"46,25,19"
2025-12-20 19:47:49.753,45,25,21,"45,25,21"
2025-12-20 19:47:50.256,45,25,21,"45,25,21"
2025-12-20 19:47:50.761,46,25,21,"46,25,21"
2025-12-20 19:47:51.264,46,27,24,"46,27,24"
2025-12-20 19:47:51.764,0,0,1,"0,0,1"
2025-12-20 19:47:52.270,0,0,0,"0,0,0"
2025-12-20 19:47:52.774,1,0,1,"1,0,1"
2025-12-20 19:47:53.279,197,82,91,"197,82,91"
2025-12-20 19:47:53.785,196,78,90,"196,78,90"
2025-12-20 19:47:54.287,196,80,90,"196,80,90"
2025-12-20 19:47:54.786,194,80,93,"194,80,93"
2025-12-20 19:47:55.292,194,80,93,"194,80,93"
2025-12-20 19:47:55.794,194,78,92,"194,78,92"
2025-12-20 19:47:56.298,194,77,89,"194,77,89"
2025-12-20 19:47:56.797,194,78,90,"194,78,90"
2025-12-20 19:47:57.303,193,77,92,"193,77,92"
2025-12-20 19:47:57.805,194,78,90,"194,78,90"
2025-12-20 19:47:58.309,193,78,90,"193,78,90"
2025-12-20 19:47:58.809,193,77,89,"193,77,89"
2025-12-20 19:47:59.312,194,78,90,"194,78,90"
2025-12-20 19:47:59.816,194,78,90,"194,78,90"
2025-12-20 19:48:00.320,194,78,90,"194,78,90"
2025-12-20 19:48:00.820,194,78,93,"194,78,93"
2025-12-20 19:48:01.323,194,80,93,"194,80,93"
2025-12-20 19:48:01.827,194,80,93,"194,80,93"
