Red,Green,Blue,Category
43,23,16,neither
41,23,19,neither
41,23,19,neither
43,20,16,neither
43,23,16,neither
41,23,19,neither
41,20,19,neither
43,23,16,neither
41,23,19,neither
41,20,19,neither
26,6,5,neither
28,8,4,neither
29,8,3,neither
44,24,21,neither
43,25,21,neither
43,25,21,neither
43,22,21,neither
45,23,19,neither
46,25,19,neither
45,25,21,neither
45,25,21,neither
46,25,21,neither
46,27,24,neither
0,0,1,neither
0,0,0,neither
1,0,1,neither
197,82,91,neither
196,78,90,neither
196,80,90,neither
194,80,93,neither
194,80,93,neither
194,78,92,neither
194,77,89,neither
194,78,90,neither
193,77,92,neither
194,78,90,neither
193,78,90,neither
193,77,89,neither
194,78,90,neither
194,78,90,neither
194,78,90,neither
194,78,93,neither
194,80,93,neither
194,80,93,neither
196,80,90,neither
194,78,90,neither
194,78,90,neither
194,78,90,neither
194,78,90,neither
196,78,90,neither
194,78,90,neither
194,78,90,neither
194,78,93,neither
194,80,93,neither
194,78,92,neither
194,78,90,neither
154,37,48,neither
105,142,99,green
174,206,152,green
178,209,154,green
186,210,161,green
203,219,182,green
204,219,183,green
204,220,183,green
204,220,184,green
204,220,184,green
202,220,184,green
202,220,183,green
202,220,184,green
202,220,184,green
202,220,183,green
202,220,183,green
202,220,186,green
202,220,183,green
202,220,183,green
199,217,177,green
196,216,178,green
195,216,178,green
196,217,179,green
196,217,179,green
196,217,177,green
196,217,177,green
199,217,177,green
199,217,177,green
196,216,179,green
196,217,176,green
196,216,176,green
195,216,178,green
195,216,178,green
194,216,174,green
191,214,173,green
94,132,88,green
0,0,0,neither
37,107,177,blue
44,111,173,blue
40,110,174,blue
38,107,176,blue
40,109,174,blue
41,110,174,blue
42,110,174,blue
39,108,174,blue
41,108,174,blue
42,108,174,blue
42,108,174,blue
42,110,174,blue
43,111,174,blue
43,108,174,blue
41,108,177,blue
41,109,177,blue
43,108,174,blue
43,111,174,blue
52,108,169,blue
48,110,173,blue
44,109,174,blue
43,108,174,blue
44,111,174,blue
44,109,174,blue
42,108,174,blue
